64 64 32
1.1614847903331826e-06 5.8455568373043436e-07 -3.5012286951535239e-09 5.7800072482755362e-20
1.1629302290276747e-06 6.1581308547118264e-07 -3.5054599621618785e-09 1.8776999904953728e-21
1.1660436828777478e-06 6.7858871716748731e-07 -3.5139828809376414e-09 1.0290126820159664e-21
1.1712715988759358e-06 7.7339338341393654e-07 -3.5269400397547877e-09 -2.6949544356977642e-21
1.1792865795018014e-06 9.0094238376642986e-07 -3.5446272631375198e-09 -5.8068079001222543e-22
1.1909893508326427e-06 1.0619835016320345e-06 -3.5676845313817795e-09 2.8140684439054001e-21
1.2075057549479438e-06 1.2567866625437827e-06 -3.5974038249745125e-09 1.4905794638205559e-21
1.2301662414516142e-06 1.4840039711731922e-06 -3.6359653488906685e-09 -3.5403330217269584e-22
1.2604436481753182e-06 1.7387930315722279e-06 -3.6861353429440807e-09 1.8065624578158124e-21
1.2998185927345829e-06 2.0107317477390538e-06 -3.7498852669484687e-09 2.2333876538931747e-21
1.3495576424796930e-06 2.2828767885418324e-06 -3.8259467117673583e-09 -2.5940384009662948e-21
1.4104366339725460e-06 2.5334490848337980e-06 -3.9074379955755669e-09 -1.4227506535912076e-22
1.4824979169459798e-06 2.7403606604448520e-06 -3.9813999854289301e-09 2.1837568171399931e-22
1.5649473525410644e-06 2.8868067243268856e-06 -4.0312735290553272e-09 2.1208910905859630e-21
1.6562464101219079e-06 2.9652214682327930e-06 -4.0414039864880222e-09 -3.2061520542555353e-21
1.7543665921915807e-06 2.9779404071689539e-06 -4.0013068466432125e-09 -1.4690727678941772e-21
1.8571098382735058e-06 2.9348991642965987e-06 -3.9078082266873391e-09 4.5958154833446218e-21
1.9623943650664987e-06 2.8499849051677786e-06 -3.7646615782877123e-09 -9.4960334321087577e-22
2.0684460977515840e-06 2.7376512468634574e-06 -3.5804937153261404e-09 3.1366688828010809e-21
2.1738849917910944e-06 2.6106516058197000e-06 -3.3662788401922193e-09 6.5578878963204034e-21
2.2777278841127030e-06 2.4789876524529233e-06 -3.1332048199160427e-09 -4.3774398016306225e-21
2.3793402926144554e-06 2.3497606714616043e-06 -2.8912813069571361e-09 -6.0119486920354051e-21
2.4783659932832805e-06 2.2275296561332563e-06 -2.6486649576741894e-09 -2.0844951436336297e-21
2.5746540866436864e-06 2.1148638144880512e-06 -2.4115096441147770e-09 -1.0654086289682996e-21
2.6681943144889621e-06 2.0129001916927541e-06 -2.1841272498859867e-09 -6.2534854309008892e-21
2.7590648711769169e-06 1.9218174431929086e-06 -1.9692915372213648e-09 1.0184247701752877e-20
2.8473930594719502e-06 1.8411998870904593e-06 -1.7685753681711762e-09 -2.0315555844302360e-21
2.9333272365478127e-06 1.7702982450878872e-06 -1.5826634339061929e-09 9.1982484115896677e-22
3.0170178387191147e-06 1.7082060520005317e-06 -1.4116141714425486e-09 8.7614970481616691e-21
3.0986052841232352e-06 1.6539727621345758e-06 -1.2550664255015547e-09 -3.3748968992163529e-22
3.1782128571504363e-06 1.6066720051190886e-06 -1.1123943206486934e-09 6.0814318634898595e-21
3.2559430670537841e-06 1.5654394745557168e-06 -9.8281967041525429e-10 3.0638769888964145e-21
3.3318763432956870e-06 1.5294910729193867e-06 -8.6549008927332355e-10 -1.2996661784433171e-20
3.4060712414314172e-06 1.4981287513238619e-06 -7.5953200178693478e-10 2.0295703509601087e-20
3.4785655772859215e-06 1.4707390645785968e-06 -6.6408454565694460e-10 1.0561442061077057e-20
3.5493780899266662e-06 1.4467877273509945e-06 -5.7832032678538935e-10 7.3784510639730069e-21
3.6185103664398302e-06 1.4258122528166826e-06 -5.0145682222716647e-10 -8.4438596929413065e-21
3.6859488552359643e-06 1.4074139491563932e-06 -4.3276152889135666e-10 -1.4889251025954498e-21
3.7516668594857778e-06 1.3912500166166013e-06 -3.7155306673794532e-10 -7.6431488599899757e-21
3.8156264463339452e-06 1.3770261510059307e-06 -3.1719959305973766e-10 -9.7739661179265750e-21
3.8777802368308506e-06 1.3644898450094475e-06 -2.6911597702443843e-10 9.8136707873291203e-21
3.9380730605525312e-06 1.3534244536602473e-06 -2.2675993066255877e-10 1.0561442061077057e-20
3.9964434708821051e-06 1.3436440133710712e-06 -1.8962820889678654e-10 6.1476063124941017e-21
4.0528251241758140e-06 1.3349887673146977e-06 -1.5725257351632565e-10 -1.2096689277975477e-20
4.1071480301383781e-06 1.3273213278016669e-06 -1.2919636589315206e-10 -5.8365864021741633e-21
4.1593396827734570e-06 1.3205234037751109e-06 -1.0505108615597347e-10 -3.5668028013286553e-21
4.2093260820117458e-06 1.3144930186775956e-06 -8.4433793313126402e-11 3.4675411278222920e-21
4.2570326560462725e-06 1.3091421531762900e-06 -6.6984671871242468e-11 9.5820602158142726e-21
4.3023850938681704e-06 1.3043947491188028e-06 -5.2365273711925261e-11 -9.3107449748968795e-21
4.3453100967009129e-06 1.3001850238316210e-06 -4.0257020217269079e-11 3.6395946952333218e-21
4.3857360561355631e-06 1.2964560446795957e-06 -3.0360274626764956e-11 -8.2718061255302767e-22
4.4235936658434641e-06 1.2931585279007210e-06 -2.2393641149967239e-11 -3.5932725809303522e-21
4.4588164728540888e-06 1.2902498227573805e-06 -1.6093629212428370e-11 2.5324961633923495e-20
4.4913413735551790e-06 1.2876930582206889e-06 -1.1214631390774496e-11 8.0931351132188228e-21
4.5211090588162012e-06 1.2854564204246063e-06 -7.5290667677859209e-12 -1.0091603473146938e-20
4.5480644119644939e-06 1.2835125502090857e-06 -4.8278710419274950e-12 1.0250422150757119e-20
4.5721568627436065e-06 1.2818380312515816e-06 -2.9209308379066726e-12 -9.8533754567316657e-21
4.5933406998735655e-06 1.2804129718924591e-06 -1.6382909794178479e-12 -7.9276989907082172e-21
4.6115753443677634e-06 1.2792206452808609e-06 -8.3085282075031058e-13 1.5041452258664255e-20
4.6268255853995364e-06 1.2782472161676569e-06 -3.7342489725518445e-13 -4.6652986547990761e-21
4.6390617801420051e-06 1.2774814918775064e-06 -1.6626571399665226e-13 -3.6131249156316249e-21
4.6482600187981020e-06 1.2769148262004857e-06 -1.4488745025140888e-13 -7.0144915944496747e-21
4.6544022554051461e-06 1.2765408221654527e-06 -2.5403042309107987e-13 -8.6092958154519120e-21
4.6574764038384889e-06 1.2763549509733781e-06 -2.6447319295396211e-13 8.6490004848544574e-21
1.1614425475867739e-06 5.8453454990355381e-07 -3.1612839060351791e-08 1.1355535449127964e-20
1.1628879352419233e-06 6.1579183380248422e-07 -3.1651033840223428e-08 2.5078461811382693e-20
1.1660012862657442e-06 6.7856721837712823e-07 -3.1727982656445504e-08 7.5074912395312792e-21
1.1712290459442477e-06 7.7337145640702494e-07 -3.1844958714576573e-08 1.6527068638809493e-21
