64 64 32
-1.2364017737382242e-18 9.1341254482953734e-16 9.6695672814445325e-16 5.4479508293916684e-20
-1.0999679527562348e-19 1.6854693218315671e-16 5.7187205198660092e-18 2.3457026466132834e-21
-5.2919549594963014e-20 -2.5879169788704564e-17 -1.8595572336609436e-17 1.0058778773253354e-21
-6.9970757727709779e-20 5.7364629082665037e-18 -9.0523160264052224e-19 -4.4108677602694900e-22
-9.3392095673363718e-20 -4.6164327682314901e-18 -2.4698673090856722e-18 -1.4108023737136712e-23
-8.2905970046942453e-20 2.5560080301371895e-18 -9.5988647180304385e-19 -2.9560011015697407e-22
-1.0531115824678117e-19 -3.3317073991542964e-18 4.1739727756060468e-18 -2.9789662017178717e-23
-9.9217120062039172e-20 3.2872574353072106e-18 1.0918913093387434e-18 7.0581861291336763e-24
-6.0958485170651698e-20 2.3652377351923121e-19 2.5106948285919686e-18 -7.1554196844627829e-23
-5.8786724396065708e-20 5.7200977445980909e-19 1.6341414063521336e-19 -1.3303684192313902e-23
-3.9007023068125032e-20 9.9735578563882731e-19 -2.4934114555888851e-19 -4.7818847392743543e-24
-1.7195742896282951e-20 3.4627457771066444e-19 -7.9748512109858972e-19 -3.3072415601554447e-23
-2.9060520856141354e-20 -7.0732579065871191e-19 9.3176807035301225e-20 9.9381856792563343e-25
-3.0913822368946325e-20 4.1854528361509890e-19 2.9085401376128016e-19 -1.8547774746635213e-24
-2.6885517162000852e-20 -1.9842872348704404e-19 2.9625038220905610e-19 1.5648047753851174e-23
-2.9053997689336809e-20 1.4017093615703034e-19 1.2603935161881331e-19 -1.1768596343910242e-24
-2.5282202515632179e-20 4.6961041131273999e-20 1.8096269496135111e-19 4.1936150523575077e-24
-2.0076783816508961e-20 2.2353055882696849e-19 -1.1964617653295020e-19 -3.1680916162904503e-24
-1.5212463167283978e-20 4.3448131710770735e-20 1.8126687804695768e-20 -8.0311630000485923e-25
-1.1382249511376207e-20 1.2769127660781711e-19 4.9673476134815698e-20 -1.5589305797227261e-24
-1.0619986450143732e-20 -6.3127123547777911e-20 3.5792741795246198e-20 -1.0609591668201164e-24
-1.0077666795867972e-20 8.2151612677665320e-20 -3.5731468907831393e-20 2.0215251272864952e-25
-9.0842778153103179e-21 -3.3035566063289364e-20 1.0365120005730506e-20 6.3823031442205605e-25
-8.1359147447403087e-21 7.3022483224759784e-20 -7.7975812628869216e-21 4.8339924135833429e-25
-7.0115276351086757e-21 -2.2719091620300928e-20 -7.7649132302974678e-21 4.8892605675032008e-26
-6.2254748007607393e-21 5.5833821020557133e-20 -1.0246845778261219e-20 4.3054717499593425e-25
-5.4485976962437773e-21 -2.0948775184294578e-20 -4.8662757953574442e-21 -1.0034166254633219e-25
-4.7665096734325859e-21 4.7942493841659571e-20 -1.4937290521753845e-20 8.2779535515681532e-26
-4.1127939778123502e-21 -1.9739822914785664e-20 -7.7637723536471016e-21 1.3884588557964089e-25
-3.6509181824579675e-21 3.7776859780175502e-20 -9.7915837965049408e-21 -5.9863577705890668e-26
-3.2585213832669623e-21 -2.0344259195912852e-20 -9.4474164430279915e-21 4.0084161916638823e-26
-2.9442693988836988e-21 3.1878834886740992e-20 -1.1267980714499075e-20 4.8270987183071929e-26
-2.6953181569154985e-21 -2.0379501347294815e-20 -1.0278452583627626e-20 6.9740365888878928e-28
-2.4756316817682601e-21 2.8227002662023778e-20 -8.9851073376483457e-21 -1.8531156826022377e-26
-2.2972219440187306e-21 -2.0031709827170389e-20 -1.1276191294009119e-20 1.6509112682895014e-26
-2.1584594675702086e-21 2.5121033029323580e-20 -1.2374260944156296e-20 2.2672957524059890e-26
-2.0354363259821696e-21 -1.9507537606303737e-20 -1.2211324932116219e-20 3.1156584269937465e-26
-1.9452652508156390e-21 2.2945550336268728e-20 -1.2410953465198344e-20 -8.6660031429725758e-27
-1.8578540241887314e-21 -1.8871995305946242e-20 -1.2230857539197289e-20 2.2109056695194482e-27
-1.7805573241777445e-21 2.1919040984374336e-20 -1.3054472450066927e-20 -2.3117673445435152e-26
-1.7091108932676728e-21 -1.8510023968144261e-20 -1.2635157438999390e-20 1.3750056600964283e-26
-1.6407931840378258e-21 2.1356785370925288e-20 -1.3216144399069973e-20 -8.8982408824125424e-28
-1.5921258279304928e-21 -1.9052739110230457e-20 -1.3021492658361519e-20 -6.6847033552564389e-27
-1.5622481133721728e-21 2.0575529150763687e-20 -1.3069685561231735e-20 -8.6167868820110106e-27
-1.5374310713542493e-21 -1.9467795587497642e-20 -1.3335404661943896e-20 -8.1024327325623393e-27
-1.5083398726929213e-21 2.1223441259306977e-20 -1.3618451908957058e-20 4.4496235735976119e-27
-1.4715706545883239e-21 -1.9713963579215339e-20 -1.3761936540596948e-20 -1.6158726402028154e-27
-1.4365399864660037e-21 2.2175728401179633e-20 -1.4189945059023569e-20 -6.1390825263959837e-27
-1.3995835798153750e-21 -2.0725909175392040e-20 -1.4314176496938005e-20 -6.5386066690224718e-29
-1.3651136308353923e-21 2.3681147585007187e-20 -1.4526881784498437e-20 -4.3893709614169647e-27
-1.3263238408428681e-21 -2.2230118991525148e-20 -1.4853044143360569e-20 -2.1027730526579077e-27
-1.2887203219221372e-21 2.6055074265023856e-20 -1.5311346577809602e-20 -2.3815856636741093e-27
-1.2510236190424271e-21 -2.4853429219486221e-20 -1.5603401729701002e-20 3.4431733284117616e-27
-1.2191223306764652e-21 2.9277635008824574e-20 -1.6080592476120586e-20 1.1521078776470584e-27
-1.1905043156565765e-21 -2.9150602168815174e-20 -1.6520947077553806e-20 2.1117139321178971e-27
-1.1650566539346589e-21 3.4598509603565857e-20 -1.6953789388307602e-20 -1.0680721618538742e-27
